State,Ages 0-20,Ages 21-34,Ages 35+,All Ages,Male,Female,Location
Maine,,,2.8,3.8,6.6,,"Maine
(45.25422910300006, -68.98502586699993)"
Kentucky,1.8,7.2,3.7,4,6.5,1.5,"Kentucky
(37.64597313300004, -84.77496771599994)"
Louisiana,2.8,8.6,5.1,5.2,8.3,2.4,"Louisiana
(31.312663324000027, -92.44567750499994)"
Florida,1.2,8,3.3,3.7,5.7,1.7,"Florida
(28.932042722000062, -81.92895768899996)"
New Jersey,,4.6,1.4,1.8,2.9,0.9,"New Jersey
(40.130570807000026, -74.27368796999997)"
District of Columbia,,,,,,,"District of Columbia
(38.89037258400003, -77.03195678499998)"
North Dakota,,15.3,12,11.3,17.4,,"North Dakota
(47.475318609000055, -100.11842789099995)"
New Hampshire,,,2.9,2.4,4.1,,"New Hampshire
(43.65595283500005, -71.50035697299995)"
Minnesota,,3.7,2.2,2.1,3.2,1.2,"Minnesota
(46.35564896600005, -94.79419983199995)"
South Carolina,2.8,14.2,7.6,7.6,12.3,3.2,"South Carolina
(33.99882216300006, -81.04536596899999)"
Oregon,,5.2,1.8,2.2,3.1,1.3,"Oregon
(44.56745049300008, -120.15502935599994)"
United States,1.3,6.7,3.1,3.3,5.2,1.5,"United States
(39.759995942000046, -98.49999896099996)"
Wisconsin,1.6,6.5,3.5,3.6,5.6,1.6,"Wisconsin
(44.39319064600005, -89.81636640199997)"
Virginia,1.2,4.5,2.6,2.5,4.1,0.9,"Virginia
(37.542680705000066, -78.45788932099998)"
New York,0.6,3.3,1.7,1.7,2.7,0.8,"New York
(42.82700376100007, -75.54396609999998)"
Ohio,1.2,6.8,3.3,3.5,5.5,1.6,"Ohio
(40.060212455000055, -82.40425667899996)"
Texas,2.1,10,4.7,4.9,7.6,2.4,"Texas
(31.827240467000024, -99.42676785299994)"
Mississippi,2.6,12,5.7,6.1,9.8,2.7,"Mississippi
(32.745513440000025, -89.53802722999995)"
Illinois,0.7,6,2.1,2.5,4,1,"Illinois
(40.48501223300008, -88.99770922699997)"
Hawaii,,,3.2,3.8,5.7,,"Hawaii
(21.30485232600006, -157.85774798099996)"
Rhode Island,,,,2.3,,,"Rhode Island
(41.70828106100004, -71.52246566099996)"
Arkansas,,10.5,4.3,5.1,8.1,2.2,"Arkansas
(34.74865032200006, -92.27448966799994)"
North Carolina,1.7,8,4,4.2,6.8,1.7,"North Carolina
(35.466220159000045, -79.15924997399998)"
Alaska,,,,,,,"Alaska
(64.84507799500005, -147.72205958799998)"
South Dakota,,,,5.7,7.4,,"South Dakota
(44.35313004200003, -100.37352915599996)"
Oklahoma,,10.5,5.8,5.6,9.3,1.9,"Oklahoma
(35.472030747000076, -97.52106835299998)"
Nebraska,,6.5,3.5,4,6.4,,"Nebraska
(41.64104362100005, -99.36571888999998)"
Massachusetts,,3.3,1.7,1.8,2.7,0.9,"Massachusetts
(42.27687400000008, -72.08268726299997)"
Michigan,1.1,6.8,2,2.7,4.3,1.2,"Michigan
(44.66132238800003, -84.71438555599997)"
Tennessee,1.6,8,4.9,4.6,7.5,1.8,"Tennessee
(35.68094072700006, -85.77448666899994)"
Alabama,2.7,10.3,5,5.5,8.4,2.9,"Alabama
(32.84057234800002, -86.63185738799996)"
Utah,,,1.9,1.2,1.7,,"Utah
(39.36070123200005, -111.58712831499997)"
Indiana,1.2,7.2,3.5,3.6,6,1.3,"Indiana
(39.766913353000064, -86.14995646699998)"
West Virginia,,12.9,4.4,5.6,9.3,,"West Virginia
(38.66551127300005, -80.71263755899997)"
Kansas,2.3,6,3,3.4,6,,"Kansas
(38.347742794000055, -98.20077822999997)"
California,0.9,4.5,1.8,2,3.2,1,"California
(37.63864210000003, -120.99999644699994)"
New Mexico,,9.1,4.5,4.8,6.9,2.9,"New Mexico
(34.52088149400004, -106.24057817299996)"
Vermont,,,,3.4,,,"Vermont
(43.62538389600007, -72.51763667599994)"
Missouri,1.9,9.5,4.4,4.8,7.8,1.8,"Missouri
(38.63579147100006, -92.56629944499997)"
Idaho,,8.7,2.7,3.6,5.8,,"Idaho
(43.68263174800006, -114.36372693399994)"
Pennsylvania,1.4,7.2,2.8,3.3,5.4,1.3,"Pennsylvania
(40.79373362300004, -77.86069690799997)"
Arizona,1.6,6.9,3.3,3.6,5.4,1.7,"Arizona
(34.86597351900008, -111.76380664699997)"
Wyoming,,17.3,,7.1,11.3,,"Wyoming
(43.23554100600006, -108.10982701399996)"
Iowa,,5.9,2.9,3.2,5.1,,"Iowa
(42.469401411000035, -93.81648725599996)"
Washington,,4,2,2.1,3.6,0.7,"Washington
(47.52228790000004, -120.47002813699999)"
Maryland,1.6,5.8,2.2,2.7,4.1,1.4,"Maryland
(39.290582950000044, -76.60925984299996)"
Georgia,1,5.8,3.1,3,4.9,1.2,"Georgia
(32.839683200000024, -83.62757885599996)"
Connecticut,,5.9,2.1,2.4,3.7,1.1,"Connecticut
(41.56266070000004, -72.64983977999998)"
Delaware,,,4,3.8,6.6,,"Delaware
(39.00883389200004, -75.57773597599999)"
Montana,,21.4,7.2,9.4,14.9,4,"Montana
(47.06652795700006, -109.42441587999997)"
Nevada,,4.6,3.2,2.8,4.2,1.4,"Nevada
(39.49324221300003, -117.07183885899997)"
Colorado,,5.6,2,2.5,3.9,1.1,"Colorado
(38.84384342200008, -106.13360911499996)"
